state,pv_capacity_factor
Alabama,19.3
Arizona,23.6
Arkansas,18.6
California,22
Colorado,21.8
Connecticut,17
District of Columbia,17.6
Delaware,17.4
Florida,20.1
Georgia,19.9
Idaho,18.8
Illinois,17.1
Indiana,16.6
Iowa,17.1
Kansas,19.9
Kentucky,17.6
Louisiana,18.6
Maine,15.9
Maryland,17.3
Massachussetts,16.9
Michigan,15.8
Minnesota,16.1
Mississippi,18.9
Missouri,18
Montana,17.3
Nebraska,19
Nevada,22.1
New Hampshire,16.5
New Jersey,17
New Mexico,23.5
New York,16.4
North Carolina,19
North Dakota,16.9
Ohio,16.4
Oklahoma,20.2
Oregon,18.3
Pennslyvania,16.3
Rhode Island,16.9
South Carolina,19.7
South Dakota,18.4
Tennessee,18.4
Texas,20.7
Utah,21.7
Vermont,16.2
Virginia,18
Washington,15.8
West Viriginia,16.9
Wisconsin,16
Wyoming,20.2
